:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Other,Appleby data is current through 2014,CYM,Cayman Islands,80014600,Paradise Papers - Appleby,Caravanserai,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80014694,Paradise Papers - Appleby,Emerald Atlant.Is Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80014742,Paradise Papers - Appleby,Cartouche Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80014752,Paradise Papers - Appleby,Finevo Fund SPC,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80014801,Paradise Papers - Appleby,Remember Me,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015733,Paradise Papers - Appleby,Group - Aggreko plc Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015734,Paradise Papers - Appleby,Group - AIG-CET Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015735,Paradise Papers - Appleby,Group - Alpha Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015737,Paradise Papers - Appleby,Group - Appleby Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015738,Paradise Papers - Appleby,Group - W&G Baird Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015739,Paradise Papers - Appleby,Group - John Bassadone Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015740,Paradise Papers - Appleby,Group - James Bedford Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015742,Paradise Papers - Appleby,Group - Billingham Manor Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015743,Paradise Papers - Appleby,Group - Philip Binfield matters Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015744,Paradise Papers - Appleby,Group - Jurat Michael Bonn Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015745,Paradise Papers - Appleby,Group - Broad Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015746,Paradise Papers - Appleby,Group - Burano Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015747,Paradise Papers - Appleby,Group - The AB Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015748,Paradise Papers - Appleby,Group - Churston Heard Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015749,Paradise Papers - Appleby,Group - Glegg Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015750,Paradise Papers - Appleby,Group - Cocolas Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015751,Paradise Papers - Appleby,Group - Comet Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015752,Paradise Papers - Appleby,Group - Cortez Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015753,Paradise Papers - Appleby,Group - John Daleymount Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015754,Paradise Papers - Appleby,Group - Dandara Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015755,Paradise Papers - Appleby,Group - Michael Dee Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015757,Paradise Papers - Appleby,Group - Owen Eastwood Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015758,Paradise Papers - Appleby,Group - Michael Edmund Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015759,Paradise Papers - Appleby,Group - Eland Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015760,Paradise Papers - Appleby,Group - Venetia Fane Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015761,Paradise Papers - Appleby,Group - Walter Frey Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015763,Paradise Papers - Appleby,Group - Grail Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015764,Paradise Papers - Appleby,Group - Dr Robert Graham Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015765,Paradise Papers - Appleby,Group - Graham Boxall Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015768,Paradise Papers - Appleby,Group - Hugo Heerema Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015769,Paradise Papers - Appleby,Group - Herc Hefer Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015770,Paradise Papers - Appleby,Group - Heusden Wiersum Group,,,,,,,,,,
Other,Appleby data is current through 2014,,,80015772,Paradise Papers - Appleby,Group - In Haus International Group,,,,,,,,,,
